,home_team_name,away_team_name,home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_corner_count,away_team_corner_count,home_team_red_cards,away_team_red_cards,home_team_shots_on_target,away_team_shots_on_target,home_team_fouls,away_team_fouls,Result
19,Al Faisaly,Al Hilal,1.62,2.31,1,3,4,2,1,1,1,-1,-1,0,0,-1,-1,-1,-1,-2
20,Al Nassr,Al Nahdha,2.62,0.23,4,1,5,1,1,1,0,4,2,0,0,7,3,15,18,3
21,Al Hilal,Al Ittihad,2.54,0.92,5,2,7,2,1,1,1,6,9,0,0,5,3,9,6,3
22,Al Raed,Al Nassr,1.23,2.38,0,3,3,2,0,0,2,5,6,0,0,0,2,15,15,-3
23,Al Taawon,Al Ittifaq,1.38,0.77,2,2,4,1,0,0,1,3,5,0,0,3,2,9,19,0
24,Al Shoalah,Najran,0.92,0.62,1,2,3,1,0,0,1,7,5,0,0,3,5,25,15,-1
25,Al Orubah,Al Faisaly,1.0,0.85,1,2,3,0,0,0,0,6,3,0,0,7,6,13,19,-1
26,Al Shabab,Al Fateh,1.85,0.46,1,1,2,1,1,1,0,10,7,0,0,5,3,11,12,0
27,Al Nahdha,Al Ahli,1.0,1.62,1,5,6,2,0,0,2,1,5,0,0,2,3,7,21,-4
28,Al Nassr,Al Shoalah,2.62,1.08,2,0,2,2,2,2,0,-1,-1,0,1,-1,-1,-1,-1,2
29,Najran,Al Ittifaq,1.54,0.77,1,0,1,1,1,1,0,3,6,0,0,8,3,13,18,1
30,Al Ittihad,Al Taawon,1.54,1.31,2,1,3,2,2,2,0,4,8,0,0,4,4,12,11,1
31,Al Faisaly,Al Shabab,1.62,1.0,0,0,0,0,0,0,0,6,8,0,0,4,3,20,10,0
32,Al Ahli,Al Hilal,1.85,2.31,1,1,2,0,0,0,0,10,3,0,0,3,5,13,17,0
33,Al Fateh,Al Orubah,1.69,1.23,0,0,0,0,0,0,0,10,4,0,0,8,4,17,13,0
34,Al Raed,Al Nahdha,1.23,0.23,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0
35,Al Fateh,Al Faisaly,1.69,0.85,1,0,1,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,1
36,Al Ittihad,Al Ahli,1.54,1.62,0,0,0,0,0,0,0,3,9,0,0,2,6,18,15,0
37,Al Nahdha,Najran,1.0,0.62,2,5,7,3,1,1,2,-1,-1,0,0,-1,-1,-1,-1,-3
38,Al Shoalah,Al Taawon,0.92,1.31,1,2,3,1,1,1,0,3,4,1,0,3,3,4,7,-1
39,Al Ittifaq,Al Shabab,1.23,1.0,0,1,1,0,0,0,0,2,5,0,0,5,5,14,15,-1
40,Al Hilal,Al Raed,2.54,1.0,1,2,3,3,1,1,2,17,3,0,0,16,4,14,12,-1
41,Al Orubah,Al Nassr,1.0,2.38,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0
42,Al Shabab,Najran,1.85,0.62,5,1,6,4,3,3,1,7,4,0,0,4,8,14,12,4
43,Al Taawon,Al Hilal,1.38,2.31,1,2,3,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1
44,Al Ahli,Al Shoalah,1.85,1.08,5,2,7,3,3,3,0,4,4,2,0,2,0,14,12,3
45,Al Faisaly,Al Ittihad,1.62,0.92,3,0,3,2,2,2,0,-1,-1,0,0,-1,-1,-1,-1,3
46,Al Nassr,Al Fateh,2.62,0.46,1,0,1,0,0,0,0,5,7,1,1,8,7,16,18,1
47,Al Ittifaq,Al Nahdha,1.23,0.23,2,1,3,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,1
48,Al Raed,Al Orubah,1.23,1.23,1,1,2,1,0,0,1,8,2,1,0,3,3,21,10,0
49,Al Ahli,Al Raed,1.85,1.0,0,0,0,0,0,0,0,12,1,0,0,4,3,17,20,0
50,Al Hilal,Al Shabab,2.54,1.0,4,1,5,2,2,2,0,1,2,0,0,0,3,14,19,3
51,Al Ittihad,Al Ittifaq,1.54,0.77,1,1,2,1,1,1,0,3,4,0,0,4,4,23,19,0
52,Najran,Al Orubah,1.54,1.23,2,0,2,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,2
53,Al Nahdha,Al Taawon,1.0,1.31,0,2,2,1,0,0,1,4,7,0,0,3,2,8,10,-2
54,Al Shoalah,Al Fateh,0.92,0.46,2,2,4,3,2,2,1,1,5,0,0,6,6,29,13,0
55,Al Faisaly,Al Nassr,1.62,2.38,0,2,2,1,0,0,1,4,7,0,0,0,3,17,8,-2
56,Al Orubah,Al Shoalah,1.0,1.08,2,2,4,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0
57,Najran,Al Hilal,1.54,2.31,0,1,1,0,0,0,0,5,9,0,0,2,2,12,14,-1
58,Al Nassr,Al Ittifaq,2.62,0.77,2,2,4,2,1,1,1,5,2,0,0,5,3,13,25,0
59,Al Raed,Al Faisaly,1.23,0.85,1,0,1,0,0,0,0,6,3,2,0,3,3,14,18,1
