full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Ahmed Mubarak Obaid Al Mahajiri,33,Professional League,2013/2014,Midfielder,Al Ittifaq,423,153,270,Oman,6,2,3,2,0,2,0,0,0,0,0,2,1,1,3,0,3,1,0,0.43,0,0.43,0,0.67,212,0.64,141,71,423,0,0.21,20,21,-1,6
Yahya Al Muslem,31,Professional League,2013/2014,Defender,Al Hilal,418,180,238,Saudi Arabia,5,2,3,0,0,0,0,0,0,0,0,1,0,1,5,2,3,0,0,0,0,0,0,0,0,1.08,84,84,0,0,0,200,20,40,20
Abdullah Mohammed Al Sudairy,26,Professional League,2013/2014,Goalkeeper,Al Hilal,990,540,450,Saudi Arabia,11,6,5,0,0,0,0,0,0,0,0,4,2,2,9,6,3,2,0,0,0,0,0,0,0,0.82,110,90,495,0,0.18,209,70,13,19
Jassim Al Hamdan,32,Professional League,2013/2014,Forward,Al Nahdha,1642,728,914,Saudi Arabia,24,7,9,7,5,2,0,0,0,2,0,5,3,2,43,15,28,1,0,0.38,0,0.38,0.62,0.2,235,2.36,38,68,1642,0,0.05,27,36,-1,1
Mohammed Qasem,28,Professional League,2013/2014,Midfielder,Al Nahdha,1182,593,589,Saudi Arabia,17,6,6,1,1,0,0,0,0,0,0,4,2,2,29,13,16,3,0,0.08,0,0.08,0.15,0,1182,2.21,41,70,394,0,0.23,114,71,-1,10
Majed Mohammed Abumalihah,32,Professional League,2013/2014,Goalkeeper,Najran,360,180,180,Saudi Arabia,4,2,2,0,0,0,0,0,0,0,0,1,1,0,9,3,6,1,0,0,0,0,0,0,0,2.25,40,90,360,0,0.25,169,108,113,20
Issoumaila Dao,35,Professional League,2013/2014,Defender,Al Raed,1826,850,976,Côte d'Ivoire,21,9,11,0,0,0,0,0,0,0,0,7,4,3,22,8,14,9,2,0,0,0,0,0,0,1.08,83,87,203,0,0.44,168,123,38,14
Mosa Al Oufi,48,Professional League,2013/2014,Midfielder,Al Raed,428,209,219,Saudi Arabia,10,3,2,0,0,0,0,0,0,0,0,4,3,1,4,2,2,0,0,0,0,0,0,0,0,0.84,107,43,0,0,0,167,122,-1,13
Abdulmajeed Abdullah Al Ruwaili,32,Professional League,2013/2014,Midfielder,Al Shabab,1145,600,545,Saudi Arabia,22,8,7,4,3,1,0,0,0,0,0,8,5,3,19,11,8,1,0,0.31,0,0.31,0.45,0.17,286,1.49,60,52,1145,0,0.08,39,121,-1,4
Saleh Khalid Al Shehri,25,Professional League,2013/2014,Forward,Al Ahli,208,142,66,Saudi Arabia,9,1,0,0,0,0,0,0,0,0,0,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0.87,104,23,0,0,0,-1,-1,-1,22
