,home_team_name,Result,away_team_name,home_ppg,away_ppg,home_team_shots_on_target,away_team_shots_on_target,home_team_corner_count,away_team_corner_count,HAS,HDS,AAS,ADS
185,Al Ittihad,1,Al Fateh,2.0,0.92,-1,-1,-1,-1,0.8796668697948405,0.9755028735632184,0.7382183908045977,0.8871216737761528
186,Al Orubah,1,Al Taawon,1.15,0.92,-1,-1,-1,-1,0.20873451147674185,0.333955938697318,0.9139846743295018,0.8125736339630306
187,Al Faisaly,1,Al Raed,1.15,0.46,-1,-1,-1,-1,0.8051188299817185,0.9491379310344827,0.7382183908045977,1.036217753402397
188,Al Nassr,3,Najran,2.31,1.0,-1,-1,-1,-1,1.0884013812715825,0.5624521072796935,0.41305076628352494,0.5665651025797278
189,Al Shabab,2,Al Khaleej,1.54,1.0,-1,-1,-1,-1,0.8349380459069674,0.7821599616858238,0.4218390804597701,0.5218362786918546
190,Al Ahli,5,Hajer,2.23,0.77,6,0,6,1,1.177859029047329,0.5800287356321838,0.18455459770114943,0.45474304286004474
191,Al Khaleej,0,Al Shoalah,1.23,0.23,-1,-1,-1,-1,0.34292098314036157,0.5712404214559387,0.18455459770114943,0.3801950030469226
192,Hajer,2,Al Taawon,1.38,0.92,-1,-1,-1,-1,0.17146049157018078,0.44820402298850576,0.9139846743295018,0.8125736339630306
193,Al Fateh,-2,Al Shabab,1.62,1.54,-1,-1,-1,-1,0.7902092220190942,0.7733716475095785,0.7206417624521072,0.6336583384115377
194,Najran,0,Al Ahli,0.85,2.38,-1,-1,-1,-1,0.3652853950842982,0.5360871647509579,1.370977011494253,0.64111314239285
195,Al Raed,-1,Al Nassr,1.54,2.62,-1,-1,-1,-1,0.6634775543367866,0.9667145593869733,1.2391522988505748,0.5889295145236645
196,Al Fateh,-1,Al Faisaly,1.62,1.15,-1,-1,-1,-1,0.7902092220190942,0.7733716475095785,0.711853448275862,0.7678448100751574
197,Al Shabab,2,Hajer,1.54,0.77,-1,-1,-1,-1,0.8349380459069674,0.7821599616858238,0.18455459770114943,0.45474304286004474
198,Al Orubah,1,Al Raed,1.15,0.46,-1,-1,-1,-1,0.20873451147674185,0.333955938697318,0.7382183908045977,1.036217753402397
199,Al Taawon,0,Najran,1.23,1.0,-1,-1,-1,-1,1.0884013812715825,0.7997365900383141,0.41305076628352494,0.5665651025797278
200,Al Khaleej,-1,Al Nassr,1.23,2.62,3,6,3,8,0.34292098314036157,0.5712404214559387,1.2391522988505748,0.5889295145236645
201,Al Shoalah,-2,Al Ittihad,1.38,2.0,-1,-1,-1,-1,0.2609181393459273,0.34274425287356325,1.2039990421455937,0.8051188299817185
202,Al Hilal,0,Al Ahli,2.38,2.38,-1,-1,-1,-1,1.2747714808043875,0.5009339080459769,1.370977011494253,0.64111314239285
203,Al Faisaly,2,Hajer,1.15,0.77,-1,-1,-1,-1,0.8051188299817185,0.9491379310344827,0.18455459770114943,0.45474304286004474
204,Al Raed,0,Al Taawon,1.54,0.92,-1,-1,-1,-1,0.6634775543367866,0.9667145593869733,0.9139846743295018,0.8125736339630306
205,Al Hilal,1,Najran,2.38,1.0,-1,-1,-1,-1,1.2747714808043875,0.5009339080459769,0.41305076628352494,0.5665651025797278
206,Al Shabab,1,Al Shoalah,1.54,0.23,6,11,7,8,0.8349380459069674,0.7821599616858238,0.18455459770114943,0.3801950030469226
207,Al Ittihad,1,Al Orubah,2.0,0.15,2,0,17,2,0.8796668697948405,0.9755028735632184,0.14940134099616859,0.2832825512898639
208,Al Nassr,2,Al Fateh,2.31,0.92,7,3,6,4,1.0884013812715825,0.5624521072796935,0.7382183908045977,0.8871216737761528
209,Al Ahli,1,Al Khaleej,2.23,1.0,6,3,11,3,1.177859029047329,0.5800287356321838,0.4218390804597701,0.5218362786918546
210,Hajer,1,Al Raed,1.38,0.46,-1,-1,-1,-1,0.17146049157018078,0.44820402298850576,0.7382183908045977,1.036217753402397
211,Al Orubah,0,Al Faisaly,1.15,1.15,-1,-1,-1,-1,0.20873451147674185,0.333955938697318,0.711853448275862,0.7678448100751574
212,Al Ahli,0,Al Shabab,2.23,1.54,-1,-1,-1,-1,1.177859029047329,0.5800287356321838,0.7206417624521072,0.6336583384115377
213,Al Shoalah,-1,Al Nassr,1.38,2.62,-1,-1,-1,-1,0.2609181393459273,0.34274425287356325,1.2391522988505748,0.5889295145236645
214,Al Taawon,-1,Al Fateh,1.23,0.92,-1,-1,-1,-1,1.0884013812715825,0.7997365900383141,0.7382183908045977,0.8871216737761528
215,Najran,-1,Al Ittihad,0.85,2.0,-1,-1,-1,-1,0.3652853950842982,0.5360871647509579,1.2039990421455937,0.8051188299817185
216,Al Hilal,3,Al Khaleej,2.38,1.0,11,9,7,6,1.2747714808043875,0.5009339080459769,0.4218390804597701,0.5218362786918546
217,Al Fateh,-1,Al Hilal,1.62,1.77,-1,-1,-1,-1,0.7902092220190942,0.7733716475095785,1.2127873563218392,0.4696526508226691
218,Al Raed,-1,Al Ittihad,1.54,2.0,-1,-1,-1,-1,0.6634775543367866,0.9667145593869733,1.2039990421455937,0.8051188299817185
219,Al Shoalah,-2,Al Ahli,1.38,2.38,-1,-1,-1,-1,0.2609181393459273,0.34274425287356325,1.370977011494253,0.64111314239285
220,Al Faisaly,0,Al Taawon,1.15,0.92,-1,-1,-1,-1,0.8051188299817185,0.9491379310344827,0.9139846743295018,0.8125736339630306
221,Al Shabab,1,Najran,1.54,1.0,8,10,5,4,0.8349380459069674,0.7821599616858238,0.41305076628352494,0.5665651025797278
222,Al Khaleej,0,Hajer,1.23,0.77,-1,-1,-1,-1,0.34292098314036157,0.5712404214559387,0.18455459770114943,0.45474304286004474
223,Al Nassr,1,Al Orubah,2.31,0.15,14,4,12,3,1.0884013812715825,0.5624521072796935,0.14940134099616859,0.2832825512898639
